+-------+--------+------------------------------------------+------------+----------+----------+------------+
|  PID  | Parent |                   Name                   |   State    |  Memory  | #Threads | Open Files |
| 20430 | 0      | code-oss                                 | sleeping   | 165496 K | 33       | 120        |
| 20432 | 20430  | electron                                 | sleeping   | 52612  K | 1        | 15         |
| 20463 | 20430  | electron                                 | sleeping   | 97868  K | 9        | 49         |
| 20478 | 20432  | electron                                 | sleeping   | 272740 K | 28       | 80         |
| 20510 | 20478  | electron                                 | sleeping   | 227192 K | 24       | 120        |
| 20525 | 20478  | electron                                 | sleeping   | 82288  K | 14       | 114        |
| 20828 | 20432  | electron                                 | sleeping   | 110096 K | 24       | 51         |
| 20865 | 0      | kworker/5:2-mm_percpu_wq                 | idle       | 0      K | 1        | 0          |
| 21373 | 891    | gvfsd-metadata                           | sleeping   | 6028   K | 3        | 12         |
| 22359 | 0      | kworker/7:1-rcu_gp                       | idle       | 0      K | 1        | 0          |
| 22363 | 0      | mongod                                   | sleeping   | 87284  K | 29       | 38         |
| 22877 | 891    | dde-lock                                 | sleeping   | 114148 K | 9        | 21         |
| 22973 | 0      | kworker/u17:1-rb_allocator               | idle       | 0      K | 1        | 0          |
| 23267 | 903    | terminator                               | sleeping   | 67912  K | 5        | 27         |
| 25943 | 903    | rstudio                                  | sleeping   | 209156 K | 14       | 25         |
| 25967 | 25943  | rsession                                 | sleeping   | 249436 K | 6        | 19         |
| 27196 | 0      | kworker/6:1-mm_percpu_wq                 | idle       | 0      K | 1        | 0          |
| 27767 | 938    | gvfsd-trash                              | sleeping   | 7912   K | 3        | 13         |
| 27778 | 938    | gvfsd-network                            | sleeping   | 7928   K | 4        | 11         |
| 27791 | 938    | gvfsd-dnssd                              | sleeping   | 7804   K | 3        | 9          |
| 28456 | 938    | gvfsd-http                               | sleeping   | 11048  K | 3        | 7          |
| 29404 | 20510  | electron                                 | sleeping   | 111600 K | 11       | 83         |
| 29494 | 0      | kworker/1:1-events                       | idle       | 0      K | 1        | 0          |
| 29522 | 20510  | electron                                 | sleeping   | 75332  K | 10       | 74         |
| 29636 | 891    | dde-control-cen                          | sleeping   | 81692  K | 7        | 20         |
| 29845 | 903    | nemo                                     | sleeping   | 54872  K | 5        | 28         |
| 29911 | 23267  | bash                                     | sleeping   | 5040   K | 1        | 4          |
| 29988 | 0      | kworker/6:0-events                       | idle       | 0      K | 1        | 0          |
| 29989 | 0      | kworker/3:2-events                       | idle       | 0      K | 1        | 0          |
| 30263 | 891    | dman-search                              | sleeping   | 7264   K | 2        | 6          |
| 30304 | 891    | dde-launcher                             | sleeping   | 136728 K | 7        | 28         |
| 30706 | 0      | kworker/2:2-memcg_kmem_cache             | idle       | 0      K | 1        | 0          |
| 30707 | 0      | kworker/4:1-cgroup_destroy               | idle       | 0      K | 1        | 0          |
| 30739 | 0      | kworker/0:2-events                       | idle       | 0      K | 1        | 0          |
| 31115 | 0      | kworker/7:2-memcg_kmem_cache             | idle       | 0      K | 1        | 0          |
| 31116 | 0      | kworker/1:0-memcg_kmem_cache             | idle       | 0      K | 1        | 0          |
| 31129 | 0      | kworker/u16:17-i915                      | idle       | 0      K | 1        | 0          |
| 31130 | 0      | kworker/0:0-rcu_gp                       | idle       | 0      K | 1        | 0          |
| 31164 | 0      | kworker/u16:51-events_unbound            | idle       | 0      K | 1        | 0          |
| 31170 | 0      | kworker/u16:57-events_unbound            | idle       | 0      K | 1        | 0          |
| 31184 | 0      | irq/125-mei_me                           | sleeping   | 0      K | 1        | 0          |
| 31189 | 0      | kworker/3:1-events                       | idle       | 0      K | 1        | 0          |
| 31225 | 0      | kworker/2:0-cgroup_destroy               | idle       | 0      K | 1        | 0          |
| 31229 | 891    | dde-osd                                  | sleeping   | 58584  K | 7        | 28         |
| 31835 | 1331   | chromium                                 | sleeping   | 172616 K | 14       | 39         |
| 32063 | 0      | kworker/0:1-events                       | idle       | 0      K | 1        | 0          |
| 32231 | 0      | kworker/7:0-events                       | idle       | 0      K | 1        | 0          |
| 32232 | 0      | kworker/1:2-mm_percpu_wq                 | idle       | 0      K | 1        | 0          |
| 32233 | 0      | kworker/2:1-events                       | idle       | 0      K | 1        | 0          |
| 32240 | 0      | kworker/u16:0-events_unbound             | idle       | 0      K | 1        | 0          |
| 32254 | 0      | kworker/3:0-events                       | idle       | 0      K | 1        | 0          |
| 32255 | 0      | kworker/3:3                              | idle       | 0      K | 1        | 0          |
| 32256 | 0      | kworker/4:2                              | idle       | 0      K | 1        | 0          |
| 32378 | 1331   | chromium                                 | sleeping   | 127900 K | 14       | 39         |
| 32434 | 1331   | chromium                                 | sleeping   | 48668  K | 13       | 32         |
| 32597 | 23267  | bash                                     | sleeping   | 5128   K | 1        | 4          |
| 32607 | 32597  | sudo                                     | sleeping   | 6276   K | 1        | 6          |
| 32608 | 32607  | mytop.out                                | running    | 12300  K | 1        | 6          |
+-------+--------+------------------------------------------+------------+----------+----------+------------+
